"No.","Time","Source","Destination","Protocol","Length","Info"
"135","36.965521","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=22/5632, ttl=56 (request in 134)"
"138","37.958818","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=23/5888, ttl=64 (reply in 139)"
"139","37.968255","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=23/5888, ttl=56 (request in 138)"
"140","38.963974","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=24/6144, ttl=64 (reply in 141)"
"141","38.973165","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=24/6144, ttl=56 (request in 140)"
"142","39.968884","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=25/6400, ttl=64 (reply in 143)"
"143","39.979415","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=25/6400, ttl=56 (request in 142)"
"152","40.972722","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=26/6656, ttl=64 (reply in 153)"
"153","40.981352","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=26/6656, ttl=56 (request in 152)"
"154","41.977960","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=27/6912, ttl=64 (reply in 155)"
"155","41.987421","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=27/6912, ttl=56 (request in 154)"
"191","42.983180","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=28/7168, ttl=64 (reply in 192)"
"192","42.992375","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=28/7168, ttl=56 (request in 191)"
"206","43.988439","10.20.0.21","184.31.86.64","ICMP","98","Echo (ping) request  id=0x7304, seq=29/7424, ttl=64 (reply in 207)"
"207","43.997794","184.31.86.64","10.20.0.21","ICMP","98","Echo (ping) reply    id=0x7304, seq=29/7424, ttl=56 (request in 206)"
